Year,Month,Day,Hour,Minute,Temperature,,,
2016,11,8,8,0,1.69,,,
2016,11,8,9,0,2.55,,,
2016,11,8,10,0,3.91,,,
2016,11,8,11,0,5.27,,,
2016,11,8,12,0,5.8,,,
2016,11,8,13,0,7.52,,,
2016,11,8,14,0,7.48,,,
2016,11,8,15,0,6.73,,,
2016,11,8,16,0,6.22,,,
2016,11,8,17,0,5.86,,,
2016,11,8,18,0,5.02,,,
2016,11,8,19,0,4.3,,,
2016,11,8,20,0,3.34,,,
2016,11,8,21,0,2.4,,,
2016,11,8,22,0,2.04,,,
2016,11,8,23,0,2.05,,,
2016,11,9,0,0,1.47,,,
2016,11,9,1,0,1.15,,,
2016,11,9,2,0,0.51,,,
2016,11,9,3,0,0.24,,,
2016,11,9,4,0,1.06,,,
2016,11,9,5,0,2.05,,,
2016,11,9,6,0,2.1,,,
2016,11,9,7,0,2.75,,,
2016,11,9,8,0,3.41,,,
2016,11,9,9,0,3.32,,,
2016,11,9,10,0,3.5,,,
2016,11,9,11,0,3.1,,,
2016,11,9,12,0,3.34,,,
2016,11,9,13,0,4.7,,,
2016,11,9,14,0,5.27,,,
2016,11,9,15,0,5.36,,,
2016,11,9,16,0,4.58,,,
2016,11,9,17,0,7.34,,,
2016,11,9,18,0,7.76,,,
2016,11,9,19,0,6.77,,,
2016,11,9,20,0,6.3,,,
2016,11,9,21,0,6.38,,,
2016,11,9,22,0,6.43,,,
2016,11,9,23,0,6.11,,,
2016,11,10,0,0,6.07,,,
2016,11,10,1,0,6.09,,,
2016,11,10,2,0,6.06,,,
2016,11,10,3,0,5.96,,,
2016,11,10,4,0,5.66,,,
2016,11,10,5,0,5.4,,,
2016,11,10,6,0,5.21,,,
2016,11,10,7,0,5.35,,,
2016,11,10,8,0,5.54,,,
2016,11,10,9,0,6.9,,,
2016,11,10,10,0,7.95,,,
2016,11,10,11,0,7.41,,,
2016,11,10,12,0,8.05,,,
2016,11,10,13,0,9.18,,,
2016,11,10,14,0,8.53,,,
2016,11,10,15,0,8.2,,,
2016,11,10,16,0,8.43,,,
2016,11,10,17,0,8.48,,,
2016,11,10,18,0,8.29,,,
2016,11,10,19,0,8.37,,,
2016,11,10,20,0,8.39,,,
2016,11,10,21,0,8.3,,,
2016,11,10,22,0,8.17,,,
2016,11,10,23,0,8.08,,,
2016,11,11,0,0,8.21,,,
2016,11,11,1,0,8.2,,,
2016,11,11,2,0,7.41,,,
2016,11,11,3,0,6.71,,,
2016,11,11,4,0,6.38,,,
2016,11,11,5,0,6.21,,,
2016,11,11,6,0,5.52,,,
2016,11,11,7,0,5.65,,,
2016,11,11,8,0,5.07,,,
2016,11,11,9,0,5.58,,,
2016,11,11,10,0,6.03,,,
2016,11,11,11,0,6.37,,,
2016,11,11,12,0,6.97,,,
2016,11,11,13,0,6.78,,,
2016,11,11,14,0,6.84,,,
2016,11,11,15,0,6.81,,,
2016,11,11,16,0,7.03,,,
2016,11,11,17,0,6.49,,,
2016,11,11,18,0,5.64,,,
2016,11,11,19,0,5.13,,,
2016,11,11,20,0,5.06,,,
2016,11,11,21,0,4.99,,,
2016,11,11,22,0,4.73,,,
2016,11,11,23,0,4.52,,,
2016,11,12,0,0,4.5,,,
2016,11,12,1,0,4.34,,,
2016,11,12,2,0,4.16,,,
2016,11,12,3,0,3.85,,,
2016,11,12,4,0,3.59,,,
2016,11,12,5,0,3.29,,,
2016,11,12,6,0,2.98,,,
2016,11,12,7,0,2.81,,,
2016,11,12,8,0,2.72,,,
2016,11,12,9,0,3.08,,,
2016,11,12,10,0,3.63,,,
2016,11,12,11,0,4.19,,,
2016,11,12,12,0,5.07,,,
2016,11,12,13,0,6.55,,,
2016,11,12,14,0,7.29,,,
2016,11,12,15,0,7.68,,,
2016,11,12,16,0,7.76,,,
2016,11,12,17,0,6.9,,,
2016,11,12,18,0,5.62,,,
2016,11,12,19,0,4.27,,,
2016,11,12,20,0,3.17,,,
2016,11,12,21,0,2.66,,,
2016,11,12,22,0,2.46,,,
2016,11,12,23,0,2.2,,,
2016,11,13,0,0,1.53,,,
2016,11,13,1,0,1.99,,,
2016,11,13,2,0,2.35,,,
2016,11,13,3,0,2.63,,,
2016,11,13,4,0,2.94,,,
2016,11,13,5,0,3.54,,,
2016,11,13,6,0,3.99,,,
2016,11,13,7,0,4.05,,,
2016,11,13,8,0,4.4,,,
2016,11,13,9,0,5.2,,,
2016,11,13,10,0,6.15,,,
2016,11,13,11,0,6.8,,,
2016,11,13,12,0,7.52,,,
2016,11,13,13,0,9.62,,,
2016,11,13,14,0,10.26,,,
2016,11,13,15,0,10.47,,,
2016,11,13,16,0,10.32,,,
2016,11,13,17,0,9.69,,,
2016,11,13,18,0,9.1,,,
2016,11,13,19,0,8.36,,,
2016,11,13,20,0,7.73,,,
2016,11,13,21,0,7.92,,,
2016,11,13,22,0,6.86,,,
2016,11,13,23,0,5.15,,,
2016,11,14,0,0,3.82,,,
2016,11,14,1,0,2.82,,,
2016,11,14,2,0,2.09,,,
2016,11,14,3,0,1.63,,,
2016,11,14,4,0,1.29,,,
2016,11,14,5,0,1.1,,,
2016,11,14,6,0,0.82,,,
2016,11,14,7,0,0.36,,,
2016,11,14,8,0,0.09,,,
2016,11,14,9,0,1.01,,,
2016,11,14,10,0,1.99,,,
2016,11,14,11,0,2.3,,,
2016,11,14,12,0,2.57,,,
2016,11,14,13,0,4.84,,,
2016,11,14,14,0,5.23,,,
2016,11,14,15,0,5.23,,,
2016,11,14,16,0,5.02,,,
2016,11,14,17,0,4.33,,,
2016,11,14,18,0,3.71,,,
2016,11,14,19,0,3.06,,,
2016,11,14,20,0,2.59,,,
2016,11,14,21,0,2.24,,,
2016,11,14,22,0,1.96,,,
2016,11,14,23,0,1.59,,,
2016,11,15,0,0,1.41,,,
2016,11,15,1,0,1.3,,,
2016,11,15,2,0,1.47,,,
2016,11,15,3,0,1.61,,,
2016,11,15,4,0,2.04,,,
2016,11,15,5,0,2.39,,,
2016,11,15,6,0,2.7,,,
2016,11,15,7,0,2.9,,,
2016,11,15,8,0,2.96,,,
2016,11,15,9,0,3.61,,,
2016,11,15,10,0,5.7,,,
2016,11,15,11,0,7.74,,,
2016,11,15,12,0,8.53,,,
2016,11,15,13,0,7.96,,,
2016,11,15,14,0,8.48,,,
2016,11,15,15,0,9.13,,,
2016,11,15,16,0,9.33,,,
2016,11,15,17,0,8.52,,,
2016,11,15,18,0,7.9,,,
2016,11,15,19,0,7.82,,,
2016,11,15,20,0,7.9,,,
2016,11,15,21,0,8.09,,,
